,subset,element_number,FXY,ElementName,Value,Units
6,6,6,005001,Latitude (high accuracy),-16.44517,deg
7,6,7,006001,Longitude (high accuracy),-151.752,deg
8,6,8,007030,Height of station ground above mean sea level,3.0,m
9,6,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,6,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,6,11,008094,Method used to calculate the average daily temperature,2,Code table
12,6,12,004001,Year,2021.0,a
13,6,13,004002,Month,10.0,mon
14,6,14,004003,Day,7.0,d
15,6,15,004023,Time period or displacement,0.0,d
16,6,16,004004,Hour,18.0,h
17,6,17,004005,Minute,0.0,min
18,6,18,004006,Second,1.0,s
19,6,19,204008,Operator,,
20,6,20,031021,Associated field significance,5,Code table
21,6,21,,Associated field,0,
22,6,22,013060,Total accumulated precipitation,0.0,kg m-2
23,6,23,204000,Operator,,
24,6,24,004023,Time period or displacement,0.0,d
25,6,25,004004,Hour,18.0,h
26,6,26,004005,Minute,0.0,min
27,6,27,004006,Second,1.0,s
28,6,28,204008,Operator,,
29,6,29,031021,Associated field significance,5,Code table
30,6,30,,Associated field,6,
31,6,31,013012,Depth of fresh snow (depth of snowfall),,m
32,6,32,204000,Operator,,
33,6,33,004023,Time period or displacement,0.0,d
34,6,34,004004,Hour,18.0,h
35,6,35,004005,Minute,0.0,min
36,6,36,004006,Second,0.0,s
37,6,37,204008,Operator,,
38,6,38,031021,Associated field significance,5,Code table
39,6,39,,Associated field,6,
40,6,40,013013,Total snow depth (snow depth),,m
41,6,41,204000,Operator,,
42,6,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,6,43,004023,Time period or displacement,0.0,d
44,6,44,004004,Hour,18.0,h
45,6,45,004005,Minute,0.0,min
46,6,46,004006,Second,1.0,s
47,6,47,008023,First-order statistics,2.0,Code table
48,6,48,204008,Operator,,
49,6,49,031021,Associated field significance,5.0,Code table
50,6,50,,Associated field,0.0,
51,6,51,012101,Temperature/air temperature,302.85,K
52,6,52,204000,Operator,,
53,6,53,004023,Time period or displacement,0.0,d
54,6,54,004004,Hour,6.0,h
55,6,55,004005,Minute,0.0,min
56,6,56,004006,Second,1.0,s
57,6,57,008023,First-order statistics,3.0,Code table
58,6,58,204008,Operator,,
59,6,59,031021,Associated field significance,5.0,Code table
60,6,60,,Associated field,0.0,
61,6,61,012101,Temperature/air temperature,298.05,K
62,6,62,204000,Operator,,
63,6,63,004023,Time period or displacement,0.0,d
64,6,64,004004,Hour,10.0,h
65,6,65,004005,Minute,0.0,min
66,6,66,004006,Second,1.0,s
67,6,67,008023,First-order statistics,4.0,Code table
68,6,68,204008,Operator,,
69,6,69,031021,Associated field significance,5.0,Code table
70,6,70,,Associated field,0.0,
71,6,71,012101,Temperature/air temperature,299.85,K
72,6,72,204000,Operator,,
73,6,73,008023,First-order statistics,,Code table
0,7,0,001125,WIGOS identifier series,0.0,Numeric
1,7,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,7,2,001127,WIGOS issue number,0.0,Numeric
3,7,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,7,4,001001,WMO block number,91.0,Numeric
5,7,5,001002,WMO station number,592.0,Numeric
6,7,6,005001,Latitude (high accuracy),-16.44517,deg
7,7,7,006001,Longitude (high accuracy),-151.752,deg
8,7,8,007030,Height of station ground above mean sea level,3.0,m
9,7,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,7,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,7,11,008094,Method used to calculate the average daily temperature,2,Code table
12,7,12,004001,Year,2021.0,a
13,7,13,004002,Month,10.0,mon
14,7,14,004003,Day,8.0,d
15,7,15,004023,Time period or displacement,0.0,d
16,7,16,004004,Hour,18.0,h
17,7,17,004005,Minute,0.0,min
18,7,18,004006,Second,1.0,s
19,7,19,204008,Operator,,
20,7,20,031021,Associated field significance,5,Code table
21,7,21,,Associated field,0,
22,7,22,013060,Total accumulated precipitation,0.8,kg m-2
23,7,23,204000,Operator,,
24,7,24,004023,Time period or displacement,0.0,d
25,7,25,004004,Hour,18.0,h
26,7,26,004005,Minute,0.0,min
27,7,27,004006,Second,1.0,s
28,7,28,204008,Operator,,
29,7,29,031021,Associated field significance,5,Code table
30,7,30,,Associated field,6,
31,7,31,013012,Depth of fresh snow (depth of snowfall),,m
32,7,32,204000,Operator,,
33,7,33,004023,Time period or displacement,0.0,d
34,7,34,004004,Hour,18.0,h
35,7,35,004005,Minute,0.0,min
36,7,36,004006,Second,0.0,s
37,7,37,204008,Operator,,
38,7,38,031021,Associated field significance,5,Code table
39,7,39,,Associated field,6,
40,7,40,013013,Total snow depth (snow depth),,m
41,7,41,204000,Operator,,
42,7,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,7,43,004023,Time period or displacement,0.0,d
44,7,44,004004,Hour,18.0,h
45,7,45,004005,Minute,0.0,min
46,7,46,004006,Second,1.0,s
47,7,47,008023,First-order statistics,2.0,Code table
48,7,48,204008,Operator,,
49,7,49,031021,Associated field significance,5.0,Code table
50,7,50,,Associated field,0.0,
51,7,51,012101,Temperature/air temperature,302.85,K
52,7,52,204000,Operator,,
53,7,53,004023,Time period or displacement,0.0,d
54,7,54,004004,Hour,6.0,h
55,7,55,004005,Minute,0.0,min
56,7,56,004006,Second,1.0,s
57,7,57,008023,First-order statistics,3.0,Code table
58,7,58,204008,Operator,,
59,7,59,031021,Associated field significance,5.0,Code table
60,7,60,,Associated field,0.0,
61,7,61,012101,Temperature/air temperature,297.05,K
62,7,62,204000,Operator,,
63,7,63,004023,Time period or displacement,0.0,d
64,7,64,004004,Hour,10.0,h
65,7,65,004005,Minute,0.0,min
66,7,66,004006,Second,1.0,s
67,7,67,008023,First-order statistics,4.0,Code table
68,7,68,204008,Operator,,
69,7,69,031021,Associated field significance,5.0,Code table
70,7,70,,Associated field,0.0,
71,7,71,012101,Temperature/air temperature,299.85,K
72,7,72,204000,Operator,,
73,7,73,008023,First-order statistics,,Code table
0,8,0,001125,WIGOS identifier series,0.0,Numeric
1,8,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,8,2,001127,WIGOS issue number,0.0,Numeric
